,State,Debt,PerCapita,Pop,Happiness Score,Cost of living index,Housing cost index,2019 Income,2018 Income,2017 Income,2016 Income,2015 Income,2014 Income,2013 Income,2012 Income,2011 Income,2010 Income,2010 to 2019 Income Percent Change,Auto Loan Debt,Credit Card Debt,Mortgage debt,Student loan debt,Total personal debt,Income To COL Ratio
0,Massachusetts,77043165000.0,10810.9895,7126375,57.12,147.9,204.7,85843,79835,77385,75297,70628,69160,66768,65339,62859,62072,3.67,3920,3190,50230,6190,67010,580.4124408384043
1,Connecticut,38756156000.0,10728.9001,3612314,58.15,116.7,122.3,78833,76348,74168,73433,71346,70048,67098,67276,65753,64032,2.34,3820,3480,42960,6270,59720,675.5184233076263
2,Rhode Island,8932377000.0,8073.8009,1106341,51.55,113.8,116.9,71169,64340,63870,60596,58073,54891,55902,54554,53636,52254,3.49,4030,3040,36030,5500,51880,625.3866432337434
3,Alaska,5921713000.0,8023.7513,738023,46.27,126.7,120.3,75463,74346,73181,76440,73355,71583,72237,67712,67825,64576,1.75,5050,3900,44390,4030,60400,595.6037884767167
4,New Jersey,65874095000.0,7016.5307,9388414,61.71,118.6,141.9,85751,81740,80088,76126,72222,71919,70165,69667,67458,67681,2.66,4220,3590,42200,6320,59470,723.026981450253
5,New York,139000000000.0,6836.6763,20365879,53.36,136.8,191.5,72108,67844,64894,62909,60850,58878,57369,56448,55246,54148,3.23,3820,3410,34660,6160,51030,527.1052631578947
6,Hawaii,9656278000.0,6549.893,1474265,66.31,189.9,312.8,83102,80212,77765,74511,73486,69592,68020,66259,61821,63030,3.12,3790,3680,57580,3700,74550,437.6092680358083
7,New Hampshire,7739447000.0,5568.9852,1389741,56.46,113.2,105.5,77933,74991,73381,70936,70303,66532,64230,63280,62647,61042,2.75,5640,3210,39170,5960,57780,688.4540636042402
8,Vermont,3502960000.0,5417.9678,646545,48.46,116.7,130.1,63001,60782,57513,57677,56990,54166,52578,52977,52776,49406,2.74,5390,2750,29700,6190,46690,539.8543273350471
9,Illinois,61821319000.0,4826.4407,12808884,58.59,91.4,80.7,69187,65030,62992,60960,59588,57444,56210,55137,53234,52972,3.01,4430,2960,31890,6050,47610,756.9693654266958
