State,Debt,PerCapita,Pop,Happiness Score,Cost of living index,Housing cost index
Massachusetts,77043165000,10810.9895,7126375,57.12,147.9,204.7
Connecticut,38756156000,10728.9001,3612314,58.15,116.7,122.3
Rhode Island,8932377000,8073.8009,1106341,51.55,113.8,116.9
Alaska,5921713000,8023.7513,738023,46.27,126.7,120.3
New Jersey,65874095000,7016.5307,9388414,61.71,118.6,141.9
New York,1.39E+11,6836.6763,20365879,53.36,136.8,191.5
Hawaii,9656278000,6549.893,1474265,66.31,189.9,312.8
New Hampshire,7739447000,5568.9852,1389741,56.46,113.2,105.5
Vermont,3502960000,5417.9678,646545,48.46,116.7,130.1
Illinois,61821319000,4826.4407,12808884,58.59,91.4,80.7
Delaware,4561576000,4523.8023,1008350,55.16,103.9,103.8
Maryland,28027363000,4478.6755,6257958,62.6,125.1,162.7
West Virginia,7547010000,4235.4674,1781860,33.83,88.5,67.8
Washington,33427752000,4230.5958,7901429,53.53,113.9,125.5
Wisconsin,23252381000,3917.7979,5935064,53.61,94.8,84.1
South Dakota,3527703000,3914.6028,901165,57.6,93.8,91
Louisiana,18092508000,3863.7467,4682633,34.81,92.8,86.9
California,1.53E+11,3819.7774,39995077,59.97,139.8,193.2
Pennsylvania,47519575000,3637.7887,13062764,51.87,97.9,87.4
North Dakota,2885664000,3605.3044,800394,57.37,96.7,92.3
Maine,4750384000,3469.5634,1369159,52.67,116.9,126.6
New Mexico,7057656000,3314.714,2129190,43.64,93.6,88.2
Michigan,33463604000,3307.9652,10116069,46.51,91.6,80.6
Indiana,21842716000,3190.6395,6845874,47.41,88.9,77.3
Virginia,27825929000,3177.3947,8757467,57.84,103.2,110.3
Kentucky,14403514000,3173.1883,4539130,38.36,95.2,78.3
South Carolina,15744638000,3017.9272,5217037,49.62,94.2,81.1
Missouri,18419751000,2976.6355,6188111,45.38,88.6,79.5
Oregon,12656643000,2930.8015,4318492,52.11,120.6,144.3
Colorado,16980689000,2867.0917,5922618,50.7,105.1,122.7
Minnesota,16363418000,2827.6128,5787008,62.43,96.8,84
Ohio,33493235000,2825.9478,11852036,46.81,92,78.4
Kansas,7538475000,2551.2364,2954832,49.9,86.4,71.7
Montana,2795614000,2534.1252,1103187,51.34,104.8,119
Mississippi,7470178000,2523.6448,2960075,39.58,88.6,79.5
Utah,7453346000,2209.6021,3373162,62.41,102.4,108.2
Oklahoma,8457322000,2113.8269,4000953,40.69,85.7,71
Arizona,14291349000,1956.8082,7303398,50.22,106.9,121.5
Iowa,6149694000,1910.3347,3219171,55.57,89,72
Idaho,3369178000,1779.4234,1893410,61.6,99.7,106
Alabama,8772871000,1729.2623,5073187,39.32,87.5,69.9
Texas,50963262000,1701.8675,29945493,47.74,90.9,82.5
Arkansas,4801939000,1584.4605,3030646,38.23,89.9,78.1
North Carolina,16310177000,1535.7739,10620168,53.65,95,88.9
Wyoming,769721000,1328.2617,579495,52.4,91.8,80.4
Florida,28823847000,1305.099,22085563,55.08,103,107.6
Georgia,13050862000,1195.4886,10916760,54.78,87.8,75.4
Nevada,3248814000,1019.8994,3185426,48.16,105.4,118
Nebraska,2014523000,1013.0684,1988536,58.19,91.5,83.6
Tennessee,6127422000,872.3814,7023788,43.35,89.5,80
